Priority,Status,Vacancy,Team ,Subteam ,Reason,Level,Published,Closed,Closed Month ,Time to fill,1st contact,Time to hire,Closing year,Job boards,Location,Staff/Non-staff,Info From
HIGH,Hired,Admin Manager,Content,Content ,Extension,Junior ,23.03.2026,18.05.2026,5,57,06.05.2026,9,2026,LinkedIn Application,Poland,staff,
MEDIUM,Hired,Business Analyst,Product (Mobile),Product Management,Extension,Senior,27.03.2026,01.05.2026,5,36,01.04.2026,23,2026,Djinni ,Kyiv,staff,
HIGH,Hired,Gym Trainer,Content,non-existent,Consultation,Expert,01.04.2026,21.05.2026,5,51,07.05.2026,11,2026, Linkedin ,USA,Expert,
LIGHT,Hired,Gym Trainer,Content,non-existent,Consultation,Expert,01.04.2026,25.05.2026,5,55,04.05.2026,16,2026, Linkedin ,USA,Expert,
HIGH,Hired,Gym Trainer,Content,non-existent,Consultation,Expert,01.04.2026,08.05.2026,5,38,07.04.2026,24,2026, Linkedin ,USA,Expert,
MEDIUM,Hired,Business Analyst,E-com,Non-tech,Extension,Middle,10.04.2026,14.05.2026,5,35,03.04.2026,30,2026,Dou ,Rivne,staff,
MEDIUM,Hired,Line Producer (China),Content,Content Production,Consultation,Middle,15.04.2026,27.05.2026,5,43,20.05.2026,6,2026,WeChat,China,Expert,
MEDIUM,Hired,Marketplace Partnerships Manager,Brand Communications,non-existent,Consultation,Expert,24.04.2026,07.05.2026,5,14,27.04.2026,9,2026, Linkedin ,United States,Expert,
MEDIUM,Hired,Marketing Automation Engineer,Analytics,Data Analytics,Extension,Middle,27.04.2026,27.05.2026,5,31,08.05.2026,14,2026,Djinni ,Gdansk,staff,
HIGH,Hired,Post-Production Producer,Content,Content ,Extension,Middle,12.01.2026,04.06.2026,6,144,30.04.2026,26,2026,Work,Chernivtsi,non-staff,
LIGHT,Hired,Junior Creative Specialist,Marketing,Creative Marketing,Extension,Junior ,08.04.2026,23.06.2026,6,77,01.06.2026,17,2026,Happy Monday,Vilnius,non-staff,
MEDIUM,Hired,Junior Digital Marketing Specialist,Marketing,User Acquisition,Extension,Junior ,12.05.2026,23.06.2026,6,43,28.05.2026,19,2026,Mate,Khmelnytskyi,non-staff,
MEDIUM,Hired,AI Content Producer,Content,non-existent,Extension,Middle,02.03.2026,04.06.2026,6,95,22.04.2026,32,2026, Linkedin ,Bulgaria,non-staff,
LIGHT,Hired,Financial Controller,Finance,non-existent,Extension,Middle,31.03.2026,17.06.2026,6,79,13.05.2026,26,2026,Career Portal,Spain,staff,
LIGHT,Hired,Gym Trainer,Content,,Consultation,Expert,01.04.2026,08.06.2026,6,69,29.04.2026,29,2026,LinkedIn Application,USA,Expert,
LIGHT,Hired,Gym Trainer,Content,non-existent,Consultation,Expert,01.04.2026,08.06.2026,6,69,26.05.2026,10,2026,LinkedIn Application,USA,Expert,
HIGH,Hired,PPC Specialist,Marketing,PPC,Extension,Senior,13.05.2026,25.06.2026,6,44,29.05.2026,20,2026, Linkedin ,Kyiv,staff,
HIGH,Hired,Affiliate Manager (TikTok),Brand Communications,Brand Communications,Extension,Middle,21.05.2026,11.06.2026,6,22,26.05.2026,13,2026, Linkedin ,Odesa,staff,
MEDIUM,Hired,Automation QA Engineer,Engineering (Mobile),Backend Core,Extension,Middle,27.05.2026,30.06.2026,6,35,02.06.2026,21,2026,Dou ,Berdychiv,staff,
MEDIUM,Hired,Supplements Industry Consultant,E-com,Non-tech,Consultation,Expert,22.06.2026,30.06.2026,6,9,24.06.2026,5,2026, Linkedin ,Lithuania,Expert,
MEDIUM,Hired,Supplements Industry Consultant,E-com,Non-tech,Consultation,Expert,22.06.2026,30.06.2026,6,9,24.06.2026,5,2026, Linkedin ,Lithuania,Expert,
